0x5d,_ALARMMOD,int,d1,int,mode,,,,,,,,,,,,,,,,アラーム許可/禁止
0x5e,_ALARMSET,int,d1,int,alarm_time,d2,int,power_off_time,a1,int,alarm_addr,,,,,,,,,,アラーム設定
0x5f,_ALARMGET,int,=d1,int *,alarm_time,=d2,int *,power_off_time,=d0,int *,alarm_addr,,,,,,,,,,アラームの設定状態を収得
0x60,_ADPCMOUT,void,a1,const void *,addr,d1,int,mode,d2,int,size,,,,,,,,,,ADPCM 出力
0x61,_ADPCMINP,void,a1,void *,addr,d1,int,mode,d2,int,size,,,,,,,,,,ADPCM 入力
0x62,_ADPCMAOT,void,a1,const struct iocs_chain *,tbl,d1,int,mode,d2,int,count,,,,,,,,,,ADPCM 出力(アレイチェーン)
0x63,_ADPCMAIN,void,a1,const struct iocs_chain *,tbl,d1,int,mode,d2,int,count,,,,,,,,,,ADPCM 入力(アレイチェーン)
0x64,_ADPCMLOT,void,a1,const struct iocs_chain2 *,chain,d1,int,mode,,,,,,,,,,,,,ADPCM 出力(リンクアレイチェーン)
0x65,_ADPCMLIN,void,a1,const struct iocs_chain2 *,chain,d1,int,mode,,,,,,,,,,,,,ADPCM 入力(リンクアレイチェーン)
0x66,_ADPCMSNS,int,,,,,,,,,,,,,,,,,,,ADPCM 状態検査
0x67,_ADPCMMOD,void,d1,int,ctrl,,,,,,,,,,,,,,,,ADPCM 実行制御
0x68,_OPMSET,void,d1,int,reg,d2,int,data,,,,,,,,,,,,,OPM レジスタ設定
0x69,_OPMSNS,int,,,,,,,,,,,,,,,,,,,OPM 状態検査
0x6a,_OPMINTST,int,a1,const void *,handler,,,,,,,,,,,,,,,,OPM 割り込み設定
0x6b,_TIMERDST,int,a1,const void *,handler,d1hb,int,mode,d1b,int,val,,,,,,,,,,Timer-D 割り込み設定
0x6c,_VDISPST,int,a1,const void *,handler,d1hb,int,mode,d1b,int,val,,,,,,,,,,垂直同期(Timer-A)割り込み設定
0x6d,_CRTCRAS,int,a1,const void *,handler,d1,int,raster,,,,,,,,,,,,,ラスター割り込み設定
0x6e,_HSYNCST,int,a1,const void *,handler,,,,,,,,,,,,,,,,水平同期割り込み設定
0x6f,_PRNINTST,int,a1,const void *,handler,,,,,,,,,,,,,,,,プリンター割り込み設定
0x70,_MS_INIT,void,,,,,,,,,,,,,,,,,,,マウス初期化
0x71,_MS_CURON,void,,,,,,,,,,,,,,,,,,,マウスカーソル表示
0x72,_MS_CUROF,void,,,,,,,,,,,,,,,,,,,マウスカーソル消去
0x73,_MS_STAT,int,,,,,,,,,,,,,,,,,,,マウスカーソルの表示状態を調べる
0x74,_MS_GETDT,int,,,,,,,,,,,,,,,,,,,マウス移動量/ボタン状態を調べる
0x75,_MS_CURGT,int,,,,,,,,,,,,,,,,,,,マウスカーソルの座標収得
0x76,_MS_CURST,int,d1h,int,x,d1l,int,y,,,,,,,,,,,,,マウスカーソルの座標設定
0x77,_MS_LIMIT,int,d1h,int,x1,d1l,int,y1,d2h,int,x2,d2l,int,y2,,,,,,,マウスカーソルの移動範囲設定
0x78,_MS_OFFTM,int,d1,int,button,d2,int,timeout,,,,,,,,,,,,,マウスのボタンを離すまでの時間を調べる
0x79,_MS_ONTM,int,d1,int,button,d2,int,timeout,,,,,,,,,,,,,マウスのボタンを押すまでの時間を調べる
0x7a,_MS_PATST,void,d1,int,cursor_num,a1,const struct iocs_patst *,pat,,,,,,,,,,,,,マウスカーソルのパターン定義
0x7b,_MS_SEL,void,d1,int,cursor_num,,,,,,,,,,,,,,,,マウスカーソルのパターン選択
0x7c,_MS_SEL2,void,a1,const short *,num_table,,,,,,,,,,,,,,,,マウスカーソルのアニメーション
0x7d,_SKEY_MOD,int,d1,int,ctrl,d2h,int,x,d2l,int,y,,,,,,,,,,ソフトキーボード制御
0x7e,_DENSNS,void,,,,,,,,,,,,,,,,,,,電卓制御
0x7f,_ONTIME,struct iocs_time,,,,,,,,,,,,,,,,,,,起動後の経過時間を調べる
0x80,_B_INTVCS,int,d1,int,vec_num,a1,void *,handler,,,,,,,,,,,,,ベクタ設定
0x81,_B_SUPER,int,a1,int,ssp_or_zero,,,,,,,,,,,,,,,,スーパーバイザ/ユーザモードの切り換え
0x82,_B_BPEEK,int,a1,const void *,addr,,,,,,,,,,,,,,,,指定アドレスから 1 バイト読み込み
0x83,_B_WPEEK,int,a1,const void *,addr,,,,,,,,,,,,,,,,指定アドレスから 1 ワード読み込み
0x84,_B_LPEEK,int,a1,const void *,addr,,,,,,,,,,,,,,,,指定アドレスから 1 ロングワード読み込み
0x85,_B_MEMSTR,void,a1,const void *,src,a2,void *,dst,d1,int,count_1,,,,,,,,,,指定アドレスから複数バイト読み込み
0x86,_B_BPOKE,void,a1,void *,addr,d1,int,data,,,,,,,,,,,,,指定アドレスヘ 1 バイト書き込み
0x87,_B_WPOKE,void,a1,void *,addr,d1,int,data,,,,,,,,,,,,,指定アドレスヘ 1 ワード書き込み
0x88,_B_LPOKE,void,a1,void *,addr,d1,int,data,,,,,,,,,,,,,指定アドレスヘ 1 ロングワード書き込み
0x89,_B_MEMSET,void,a1,void *,dst,a2,const void *,src,d1,int,count_1,,,,,,,,,,指定アドレスヘ複数バイト書き込み
0x8a,_DMAMOVE,void,a1,void *,src,a2,void *,dst,d1,int,mode,d2,int,size,,,,,,,DMA 転送
0x8b,_DMAMOV_A,void,a1,const struct iocs_chain *,tbl,a2,void *,dst,d1,int,mode,d2,int,count,,,,,,,DMA 転送(アレイチェーン)
0x8c,_DMAMOV_L,void,a1,const struct iocs_chain2 *,chain,a2,void *,dst,d1,int,mode,,,,,,,,,,DMA 転送(リンクアレイチェーン)
0x8d,_DMAMODE,int,,,,,,,,,,,,,,,,,,,DMA 状態検査
0x8e,_BOOTINF,%int,,,,,,,,,,,,,,,,,,,起動情報を得る
0x8f,_ROMVER,%int,,,,,,,,,,,,,,,,,,,ROM バージョンを得る
0x90,_G_CLR_ON,void,,,,,,,,,,,,,,,,,,,グラフィック画面の初期化及び表示モードの設定
#0x91,_G_MOD,int,d1,int,mode,,,,,,,,,,,,,,,,グラフィック画面モードの設定
#0x92,_PRIORITY,int,d1,int,prio,,,,,,,,,,,,,,,,プライオリティ設定
#0x93,_CRTMOD2,int,d1,int,mode,,,,,,,,,,,,,,,,画面表示及び特殊モードの設定
0x94,_GPALET,int,d1,int,code,d2,int,color,,,,,,,,,,,,,グラフィックパレット設定
#0x95,_PENCOLOR,int,d1,int,code,,,,,,,,,,,,,,,,カラーコード設定
#0x96,_SET_PAGE,int,d1,int,page,,,,,,,,,,,,,,,,アクセスページ設定
#0x97,_GGET,int,d1,int,x,d2,int,y,a1,void *,buf,,,,,,,,,,グラフィック VRAM のドット単位読み込み
#0x98,_MASK_GPUT,int,d1,int,x,d2,int,y,d3,int,mask_color,a1,void *,buf,,,,,,,グラフィック VRAM のドット単位書き込み(色マスクあり)
#0x99,_GPUT,int,d1,int,x,d2,int,y,a1,void *,buf,,,,,,,,,,グラフィック VRAM のドット単位書き込み
#0x9a,_GPTRN,int,d1,int,x,d2,int,y,a1,void *,buf,,,,,,,,,,グラフィック VRAM のビットパターン書き込み
#0x9b,_BK_GPTRN,int,d1,int,x,d2,int,y,d3,int,back_color,a1,void *,buf,,,,,,,グラフィック VRAM のビットパターン書き込み(バックカラーあり)
#0x9c,_X_GPTRN,int,d1,int,x,d2,int,y,d3,int,xscale,d4,int,yscale,a1,void *,buf,,,,グラフィック VRAM のビットパターン拡大書き込み
0xa0,_SFTJIS,%int,d1,int,sjis,,,,,,,,,,,,,,,,S-JIS→JIS コード変換
0xa1,_JISSFT,%int,d1,int,jis,,,,,,,,,,,,,,,,JIS→S-JIS コード変換
0xa2,_AKCONV,%int,d1h,int,mode,d1l,int,code,,,,,,,,,,,,,ANK→S-JIS コード変換
0xa3,_RMACNV,int,d1,int,alpha,a1,char *,work,a2,char *,result_ptr,,,,,,,,,,ローマ字→ANK カナ変換
0xa4,_DAKJOB,int,a1,char *,str_ptr,,,,,,,,,,,,,,,,濁点処理
0xa5,_HANJOB,int,a1,char *,str_ptr,,,,,,,,,,,,,,,,半濁点処理
0xac,_SYS_STAT,,,,,,,,,,,,,,,,,,,,システム状態の設定
0xad,_B_CONMOD,,,,,,,,,,,,,,,,,,,,カーソルおよびスクロールの設定
0xae,_OS_CURON,void,,,,,,,,,,,,,,,,,,,カーソル点滅開始
0xaf,_OS_CUROF,void,,,,,,,,,,,,,,,,,,,カーソル点滅終了
0xb0,_DRAWMODE,int,d1,int,mode,,,,,,,,,,,,,,,,グラフィック描画モードの設定
0xb1,_APAGE,int,d1,int,page,,,,,,,,,,,,,,,,グラフィック描画ページの設定
0xb2,_VPAGE,int,d1,int,page_bits,,,,,,,,,,,,,,,,グラフィック画面表示ページの設定
0xb3,_HOME,int,d1,int,page_bits,d2,int,x,d3,int,y,,,,,,,,,,グラフィック画面の表示位置設定
0xb4,_WINDOW,int,d1,int,x0,d2,int,y0,d3,int,x1,d4,int,y1,,,,,,,グラフィック描画ウィンドウの設定
0xb5,_WIPE,int,,,,,,,,,,,,,,,,,,,グラフィック画面のクリア
0xb6,_PSET,int,a1,const struct iocs_psetptr *,p,,,,,,,,,,,,,,,,グラフィック画面のポイントセット
0xb7,_POINT,int,a1,const struct iocs_pointptr *,p,,,,,,,,,,,,,,,,グラフィック画面のポイントゲット
0xb8,_LINE,int,a1,const struct iocs_lineptr *,p,,,,,,,,,,,,,,,,グラフィック画面のライン
